17.74,20.00,3.52
11.04,7.26,0.00
7.34,4.58,0.79
8.09,8.74,1.06
16.83,18.87,3.46
9.20,19.16,1.87
8.65,16.84,2.13
19.21,19.04,3.19
10.96,18.07,2.03
16.23,16.67,2.76
17.87,15.69,2.90
16.97,17.78,3.13
19.57,20.00,2.86
7.07,8.06,1.50
7.08,9.22,1.15
16.69,16.40,3.84
16.72,18.89,3.95
18.20,17.22,3.28
17.72,18.34,3.58
5.97,18.26,2.30
16.94,14.70,3.71
18.35,20.00,3.21
20.00,13.81,1.96
15.67,20.00,2.46
18.85,18.25,2.79
8.38,7.23,0.70
9.06,18.35,1.05
18.45,19.39,1.96
7.75,8.02,0.71
8.60,18.57,2.10
19.85,15.17,2.77
16.05,15.61,4.00
9.16,7.40,0.76
8.37,16.82,2.18
18.36,18.49,3.34
17.62,16.21,2.51
5.78,7.18,0.47
7.64,19.84,3.29
8.27,6.21,2.34
14.80,20.00,3.80
19.38,19.33,3.28
8.96,8.27,0.00
5.75,19.17,1.62
9.11,9.38,1.78
7.57,8.25,0.10
13.45,15.74,2.44
20.00,19.39,1.99
9.00,10.32,0.55
18.97,16.88,3.02
7.27,16.83,1.64
7.87,8.99,2.55
10.31,19.83,1.93
17.69,20.00,2.12
9.16,6.55,1.32
12.34,18.66,1.55
19.01,15.83,2.41
8.20,7.38,0.36
8.83,19.18,1.86
18.54,16.97,3.24
6.82,8.49,1.27
18.52,20.00,3.32
9.06,9.36,1.53
8.08,7.80,1.11
20.00,19.62,3.64
15.74,17.24,1.77
6.57,8.91,1.37
7.67,7.84,1.56
9.31,10.94,1.58
18.76,15.80,4.00
9.05,8.35,0.00
6.40,19.47,3.17
7.78,9.74,0.74
7.13,4.27,0.00
7.07,18.50,1.43
9.46,6.47,1.92
14.56,11.86,1.42
10.30,9.10,1.33
18.73,20.00,3.51
6.73,6.08,1.77
6.17,18.43,2.59
9.97,8.59,0.97
7.35,7.68,1.19
7.57,6.26,1.36
9.12,7.63,0.89
17.99,20.00,3.54
18.18,15.05,2.59
6.21,7.92,0.93
11.33,15.39,1.24
20.00,19.38,3.98
8.19,8.33,0.85
7.12,8.75,0.70
16.36,15.58,2.45
18.96,16.56,3.01
8.84,19.15,1.21
11.68,16.09,2.47
7.77,8.49,1.24
8.54,17.99,1.23
17.86,14.01,3.47
17.86,20.00,1.94
7.72,10.54,1.75
5.88,16.40,2.31
8.08,6.69,1.47
9.21,9.76,0.79
8.74,9.13,1.77
8.31,6.76,1.67
19.79,20.00,3.24
8.20,6.33,0.89
18.47,16.06,2.83
7.93,7.96,1.28
17.55,14.94,1.78
16.97,9.29,1.75
9.20,8.71,1.58
8.81,18.20,1.31
17.23,11.10,3.57
7.77,8.07,0.36
9.46,6.52,0.83
18.08,18.74,3.21
8.67,7.69,2.10
9.84,9.22,0.57
13.40,20.00,3.09
19.83,19.88,3.26
9.21,7.88,1.62
7.75,8.28,0.17
9.14,8.83,0.73
7.20,9.28,0.62
9.15,9.12,1.25
17.13,17.15,2.78
6.97,7.29,0.89
7.91,9.33,0.77
10.45,17.45,2.26
8.30,7.26,0.31
19.03,20.00,2.72
9.98,16.59,3.36
11.19,7.62,0.45
15.67,20.00,2.35
8.58,6.86,0.33
6.72,9.42,1.57
19.64,19.20,4.00
10.95,6.94,0.96
17.65,16.70,2.51
